类别,材料(化学式),中文名,临界温度 Tc (K),晶体结构,类型(I/II),超导机制,条件,发现年份,备注
其他金属间化合物,URhGe,铀铑锗,0.25,Orthorhombic,II,非常规,常压,2001,铁磁超导体
其他金属间化合物,CeIn3,铟化铈,0.2,AuCu3,II,非常规,高压~2.5GPa,2001,
其他金属间化合物,PrIr2Zn20,镨铱二锌二十,0.05,CeCr2Al20,II,非常规,常压,2018,
其他金属间化合物,YbRh2Si2,镱铑二硅二,0.002,ThCr2Si2,II,非常规,高压,2019,
合金超导体,Mo-Re,钼铼合金,12.0,bcc,II,常规,常压,1962,
合金超导体,Nb-Zr,铌锆合金,11.0,bcc,II,常规,常压,1961,早期合金超导体
合金超导体,Nb-Hf,铌铪合金,10.0,bcc,II,常规,常压,1965,
合金超导体,Nb-Ti,铌钛合金,9.2,bcc,II,常规,常压,1962,最常用商用超导线材(占95%)
合金超导体,Pb-Bi,铅铋合金,8.5,fcc,I,常规,常压,1958,
合金超导体,Pb-In,铅铟合金,6.5,fcc,I,常规,常压,1958,
合金超导体,Ta-Nb,钽铌合金,6.0,bcc,II,常规,常压,1958,
合金超导体,Ti-Mo,钛钼合金,4.2,bcc,II,常规,常压,1962,
富勒烯超导体,Cs3C60,铯富勒烯,38,fcc(A15高压),II,常规/非常规?,高压~1.4GPa,1995,富勒烯最高Tc
富勒烯超导体,RbCs2C60,铷铯富勒烯,33,fcc,II,常规,常压,1991,
富勒烯超导体,Rb2CsC60,二铷铯富勒烯,31,fcc,II,常规,常压,1991,
富勒烯超导体,Rb3C60,三铷富勒烯,29,fcc,II,常规,常压,1991,
富勒烯超导体,NH3K3C60,氨钾富勒烯,28,fcc,II,常规,常压,1995,
富勒烯超导体,K2RbC60,二钾铷富勒烯,22,fcc,II,常规,常压,1991,
富勒烯超导体,K3C60,三钾富勒烯,19.3,fcc,II,常规,常压,1991,首个富勒烯超导体
富勒烯超导体,Na2CsC60,二钠铯富勒烯,14,fcc,II,常规,常压,1995,
富勒烯超导体,Sm2.75C60,钐富勒烯,8,fcc,II,常规,常压,1995,
有机超导体,(BEDT-TTF)2Cu[N(CN)2]Cl,BEDT-TTF铜二氰亚胺氯,12.8,Orthorhombic,II,非常规,高压~0.3kbar,1991,
有机超导体,(Per)2[Au(mnt)2],苝金二硫烯,12.0,Monoclinic,II,非常规,高压~7kbar,1988,
有机超导体,(BEDT-TTF)2Cu[N(CN)2]Br,BEDT-TTF铜二氰亚胺溴,11.6,Orthorhombic,II,非常规,常压,1991,
有机超导体,(BEDT-TTF)2Cu(NCS)2,BEDT-TTF铜硫氰,10.4,Triclinic,II,非常规,常压,1988,最高Tc有机超导体
有机超导体,(BETS)2GaCl4,BETS镓氯,6.0,Triclinic,II,非常规,常压,1997,
有机超导体,κ-(BEDT-TTF)2I3,κ-BEDT-TTF三碘,3.6,Triclinic,II,非常规,常压,1988,
有机超导体,(MDT-TTF)2AuI2,MDT-TTF金二碘,3.5,Triclinic,II,非常规,常压,1992,
有机超导体,(BEDT-TTF)2I3,BEDT-TTF三碘,2.5,Triclinic,II,非常规,常压,1986,
有机超导体,(BETS)2FeCl4,BETS铁氯,2.5,Triclinic,II,非常规,高压~0.5kbar,1997,
有机超导体,(DMET)2AuBr2,DMET金二溴,1.9,Triclinic,II,非常规,常压,1989,
有机超导体,β-(BEDT-TTF)2I3,β-BEDT-TTF三碘,1.5,Triclinic,II,非常规,常压,1986,
有机超导体,(TMTSF)2ClO4,TMTSF高氯酸,1.4,Triclinic,II,非常规,常压,1981,
有机超导体,(TMTSF)2ReO4,TMTSF高铼酸,1.3,Triclinic,II,非常规,高压~9.5kbar,1985,
有机超导体,(TMTSF)2PF6,TMTSF六氟磷酸,1.2,Triclinic,II,非常规,高压~6kbar,1980,首个有机超导体
有机超导体,(TMTSF)2AsF6,TMTSF六氟砷酸,1.1,Triclinic,II,非常规,高压,1980,
有机超导体,(ET)4FeBr4,ET铁溴,1.1,Monoclinic,II,非常规,常压,1995,
有机超导体,(DMET)2I3,DMET三碘,0.9,Triclinic,II,非常规,常压,1989,
有机超导体,(DMET)2AuI2,DMET金二碘,0.8,Triclinic,II,非常规,常压,1989,
有机超导体,(TMTSF)2SbF6,TMTSF六氟锑酸,0.4,Triclinic,II,非常规,高压,1983,
氢化物高压超导体,La2MgH15,二镧镁十五氢,475,预测,II,常规,高压~250GPa(预测),2019,理论预测
氢化物高压超导体,Li2MgH16,二锂镁十六氢,473,预测,II,常规,高压~250GPa(预测),2020,理论预测最高Tc
氢化物高压超导体,CeH18,十八氢化铈,330,预测,II,常规,高压~350GPa(预测),2023,理论预测
氢化物高压超导体,YH10,十氢化钇,~326(预测),Fm-3m,II,常规,高压~250GPa(预测),2014,理论预测
氢化物高压超导体,CSH,碳硫氢,287.7,未知,II,常规,高压~267GPa,2020,近室温超导
氢化物高压超导体,LaH10,十氢化镧,260,Fm-3m,II,常规,高压~190GPa,2019,另一实验值
氢化物高压超导体,CaYH12,钙钇十二氢,258,预测,II,常规,高压~200GPa(预测),2020,
氢化物高压超导体,LaH10,十氢化镧,250,Fm-3m (笼形),II,常规,高压~170GPa,2019,实验最高Tc氢化物
氢化物高压超导体,YH9,九氢化钇,243,P63/mmc,II,常规,高压~200GPa,2021,
氢化物高压超导体,YH6,六氢化钇,224,Im-3m (笼形),II,常规,高压~166GPa,2021,
氢化物高压超导体,CaH6,六氢化钙,215,Im-3m (笼形),II,常规,高压~172GPa,2022,实验验证
氢化物高压超导体,ScCaH8,钪钙八氢,212,预测,II,常规,高压~200GPa(预测),2020,
氢化物高压超导体,AcH10,十氢化锕,204,预测,II,常规,高压~200GPa(预测),2017,理论预测
氢化物高压超导体,H3S,硫化氢(三氢化硫),203,Im-3m (立方),II,常规(强电声耦合),高压~155GPa,2015,首个200K+超导体
氢化物高压超导体,UH8,八氢化铀,193,预测,II,常规,常压(预测),2017,理论预测
氢化物高压超导体,ScCaH12,钪钙十二氢,182,预测,II,常规,高压~200GPa(预测),2020,
氢化物高压超导体,LiPH6,六氢化磷锂,167,预测,II,常规,高压~200GPa(预测),2020,
氢化物高压超导体,ThH10,十氢化钍,161,Fm-3m,II,常规,高压~175GPa,2025,
氢化物高压超导体,ThH9,九氢化钍,146,P63/mmc,II,常规,高压~170GPa,2025,
氢化物高压超导体,CeH10,十氢化铈,115,多种,II,常规,高压~100GPa,2019,
氢化物高压超导体,CeH9,九氢化铈,100,多种,II,常规,高压~100GPa,2019,
氢化物高压超导体,SnH12,十二氢化锡,80,预测,II,常规,高压(预测),2017,理论预测
石墨插层超导体,CaC6,钙石墨插层(高压),15.1,Graphite intercalation,II,常规,高压~8GPa,2005,
石墨插层超导体,CaC6,钙石墨插层,11.5,Graphite intercalation,II,常规,常压,2005,
石墨插层超导体,YbC6,镱石墨插层,6.5,Graphite intercalation,II,常规,常压,2005,
石墨插层超导体,KC8,钾石墨插层,0.55,Graphite intercalation,II,常规,常压,1965,
石墨插层超导体,LiC6,锂石墨插层,0.35,Graphite intercalation,II,常规,常压,1965,
石墨插层超导体,RbC8,铷石墨插层,0.15,Graphite intercalation,II,常规,常压,1965,
石墨插层超导体,CsC8,铯石墨插层,0.14,Graphite intercalation,II,常规,常压,1965,
铁基超导体,SmFeAsO1-xFx,钐铁砷氧氟(1111),55,ZrCuSiAs,II,非常规(s±波),常压,2008,铁基最高Tc
铁基超导体,NdFeAsO1-xFx,钕铁砷氧氟,53,ZrCuSiAs,II,非常规,常压,2008,
铁基超导体,GdFeAsO1-xFx,钆铁砷氧氟,53,ZrCuSiAs,II,非常规,常压,2008,
铁基超导体,PrFeAsO1-xFx,镨铁砷氧氟,52,ZrCuSiAs,II,非常规,常压,2008,
铁基超导体,CeFeAsO1-xFx,铈铁砷氧氟,44,ZrCuSiAs,II,非常规,常压,2008,
铁基超导体,Ba1-xKxFe2As2,钡钾铁砷(122),38,ThCr2Si2,II,非常规,常压,2008,
铁基超导体,Sr1-xKxFe2As2,锶钾铁砷,37,ThCr2Si2,II,非常规,常压,2008,
铁基超导体,LaFeAsO1-xHx,镧铁砷氧氢,36,ZrCuSiAs,II,非常规,常压,2012,
铁基超导体,Ca1-xNaxFe2As2,钙钠铁砷,34,ThCr2Si2,II,非常规,常压,2008,
铁基超导体,KxFe2-ySe2,钾铁硒,32,ThCr2Si2,II,非常规,常压,2010,反铁磁共存
铁基超导体,BaFe2(As1-xPx)2,钡磷掺杂铁砷,30,ThCr2Si2,II,非常规,常压,2009,
铁基超导体,EuFe2As2,铕铁砷,30,ThCr2Si2,II,非常规,高压~3GPa,2009,
铁基超导体,Cs0.8(FeSe0.98)2,铯铁硒,27,ThCr2Si2,II,非常规,常压,2011,
铁基超导体,LaFeAsO1-xFx,镧铁砷氧氟,26,ZrCuSiAs,II,非常规,常压,2008,首个铁基超导体
铁基超导体,Ba(Fe1-xCox)2As2,钡钴掺杂铁砷,25,ThCr2Si2,II,非常规,常压,2008,
铁基超导体,NaFeAs,钠铁砷,23,Cu2Sb,II,非常规,常压,2009,
铁基超导体,LiFeAs,锂铁砷(111),18,Cu2Sb,II,非常规,常压,2008,
铁基超导体,Ca10(Pt3As8)(Fe2As2)5,钙铂砷铁(1048),15,复杂层状,II,非常规,常压,2011,
铁基超导体,Ca4(Pt2As2)(Fe2As2)3,钙铂砷铁(42622),15,复杂层状,II,非常规,常压,2011,
铁基超导体,FeSe0.5Te0.5,硒碲化铁,14,PbO,II,非常规,常压,2008,
铁基超导体,FeSe1-xSx,硒硫化铁,10,PbO,II,非常规,常压,2009,
铁基超导体,FeSe,硒化铁(11),8,PbO,II,非常规,常压,2008,
铁基超导体,Na2Cr3As3,钠铬砷,8,准一维,II,非常规,常压,2014,
铁基超导体,K2Cr3As3,钾铬砷,6,准一维,II,非常规,常压,2014,
铁基超导体,CrAs,砷化铬,2,MnP,II,非常规,高压~1GPa,2014,
铁基超导体,MnP,磷化锰,1,MnP,II,非常规,高压~8GPa,2014,
铜氧化物高温超导体,HgBa2Ca2Cu3O8+δ,汞钡钙铜氧(1223),135,Perovskite(层状),II,非常规(d波),常压,1993,常压最高Tc记录
铜氧化物高温超导体,HgBa2CaCu2O6+δ,汞钡钙铜氧(1212),128,Perovskite,II,非常规(d波),常压,1993,
铜氧化物高温超导体,HgBa2Ca3Cu4O10+δ,汞钡钙铜氧(1234),126,Perovskite,II,非常规(d波),常压,1994,
铜氧化物高温超导体,Tl2Ba2Ca2Cu3O10+δ,铊钡钙铜氧(2223),125,Perovskite,II,非常规(d波),常压,1988,
铜氧化物高温超导体,TlBa2Ca2Cu3O9+δ,铊钡钙铜氧(1223),120,Perovskite,II,非常规(d波),常压,1993,
铜氧化物高温超导体,HgBa2Ca4Cu5O12+δ,汞钡钙铜氧(1245),120,Perovskite,II,非常规(d波),常压,1994,
铜氧化物高温超导体,CuBa2Ca3Cu4O10+δ,铜钡钙铜氧(1234),117,Perovskite,II,非常规(d波),常压,1995,
铜氧化物高温超导体,Tl2Ba2Ca3Cu4O12+δ,铊钡钙铜氧(2234),112,Perovskite,II,非常规(d波),常压,1988,
铜氧化物高温超导体,Bi2Sr2Ca2Cu3O10+δ,铋锶钙铜氧(2223),110,Perovskite,II,非常规(d波),常压,1988,BSCCO
铜氧化物高温超导体,CaCuO2,铜酸钙(无限层),110,Perovskite,II,非常规(d波),高压~15GPa,1993,
铜氧化物高温超导体,Tl2Ba2CaCu2O8+δ,铊钡钙铜氧(2212),108,Perovskite,II,非常规(d波),常压,1988,
铜氧化物高温超导体,Bi2Sr2CaCu2O8+δ,铋锶钙铜氧(2212),96,Perovskite,II,非常规(d波),常压,1988,BSCCO
铜氧化物高温超导体,NdBa2Cu3O7-δ,钕钡铜氧,96,Perovskite,II,非常规(d波),常压,1987,
铜氧化物高温超导体,GdBa2Cu3O7-δ,钆钡铜氧,94,Perovskite,II,非常规(d波),常压,1987,
铜氧化物高温超导体,YBa2Cu3O7-δ,钇钡铜氧(123),93,Perovskite(Orthorhombic),II,非常规(d波),常压,1987,首个液氮温区超导体
铜氧化物高温超导体,Y2Ba4Cu7O15,钇钡铜氧(247),93,Perovskite,II,非常规(d波),常压,1988,
铜氧化物高温超导体,EuBa2Cu3O7-δ,铕钡铜氧,93,Perovskite,II,非常规(d波),常压,1987,
铜氧化物高温超导体,SmBa2Cu3O7-δ,钐钡铜氧,93,Perovskite,II,非常规(d波),常压,1987,
铜氧化物高温超导体,YBa2Cu4O8,钇钡铜氧(124),80,Perovskite,II,非常规(d波),常压,1988,
铜氧化物高温超导体,Sr2CuO3+δF,锶铜氧氟,46,Perovskite,II,非常规(d波),高压,1994,
铜氧化物高温超导体,La1.85Sr0.15CuO4,镧锶铜氧(LSCO),36,Perovskite(K2NiF4),II,非常规(d波),常压,1986,首个高温超导体
铜氧化物高温超导体,La2CuO4+δ,镧铜氧,35,Perovskite,II,非常规(d波),常压(掺杂),1986,
